Hours of work/day,Hours of sleep,Cups of coffee/day,Age,Screen time,Anxiety score,Stress level
8,7,2,28,6,45,1
11,5,4,35,10,78,2
5,8,1,22,4,20,0
9,6,3,42,8,65,2
7,7,2,31,5,38,1
12,4,5,29,11,88,2
6,9,0,50,3,15,0
8,6.5,2,26,7,50,1
10,5.5,3,38,9,72,2
4,8.5,1,61,2,12,0
8.5,6,3,33,7.5,55,1
7.5,7.5,1,24,5.5,30,0
10.5,5,4,45,9.5,82,2
8,7,2,27,6,42,1
6.5,8,0,30,4,25,0
9.5,6,3,36,8.5,68,2
7,7,2,23,6,40,1
11,4.5,5,32,10.5,85,2
5.5,8.5,1,55,3.5,18,0
8,6.5,2,40,7,48,1
10,5,4,28,9,75,2
6,7.5,1,34,5,28,0
8.5,6.5,3,29,7,52,1
9,5.5,3,41,8,63,2
5,8,0,48,3,22,0
7.5,7,2,26,6,35,1
11.5,4,4,37,11,90,2
8,7,1,33,5.5,44,1
6.5,8.5,1,22,4,17,0
10,6,3,46,8.5,70,2
7,7.5,2,30,5,36,1
12,5,5,31,10,87,2
4.5,8,0,58,2.5,14,0
8,6.5,2,25,6.5,47,1
9.5,5.5,4,39,9,76,2
6,8,1,27,4.5,26,0
8.5,6,3,35,7.5,58,1
10.5,4.5,4,43,10,80,2
5,9,0,52,3,11,0
7.5,7,2,28,6,39,1
9,6,3,32,8,61,2
8,7.5,1,47,5.5,41,1
6.5,8,1,24,4,23,0
11,5,5,36,9.5,84,2
7,6.5,2,29,6.5,46,1
10,5.5,3,40,8.5,73,2
5.5,8.5,0,44,3.5,19,0
8.5,7,2,31,6,43,1
9.5,6,4,26,8,66,2
6,7.5,1,38,5,29,0
8,6.5,2,34,7,49,1
11.5,4.5,4,49,10.5,89,2
4,8,1,60,3,16,0
7.5,7,3,25,6.5,51,1
10,5,3,33,9,74,2
6.5,8.5,0,28,4,21,0
8.5,6,2,42,7.5,54,1
9,5.5,4,30,8.5,69,2
5,8,1,53,3.5,24,0
7.5,7.5,2,27,5.5,37,1
10.5,5,5,35,10,81,2
